distance,x,y,value
2.993987975951904090e+01,4.000000000000000000e+01,2.993987975951904090e+01,9.784735812133078525e-01
3.012024048096192530e+01,4.000000000000000000e+01,3.012024048096192530e+01,9.784735812133078525e-01
3.030060120240481325e+01,4.000000000000000000e+01,3.030060120240481325e+01,9.784735812133078525e-01
3.048096192384769765e+01,4.000000000000000000e+01,3.048096192384769765e+01,9.784735812133078525e-01
3.066132264529058205e+01,4.000000000000000000e+01,3.066132264529058205e+01,9.784735812133078525e-01
3.084168336673347000e+01,4.000000000000000000e+01,3.084168336673347000e+01,9.784735812133078525e-01
3.102204408817635439e+01,4.000000000000000000e+01,3.102204408817635439e+01,9.784735812133078525e-01
3.120240480961924234e+01,4.000000000000000000e+01,3.120240480961924234e+01,9.784735812133078525e-01
3.138276553106212674e+01,4.000000000000000000e+01,3.138276553106212674e+01,9.784735812133078525e-01
3.156312625250501114e+01,4.000000000000000000e+01,3.156312625250501114e+01,9.784735812133078525e-01
3.174348697394789909e+01,4.000000000000000000e+01,3.174348697394789909e+01,9.784735812133078525e-01
3.192384769539078349e+01,4.000000000000000000e+01,3.192384769539078349e+01,9.784735812133079635e-01
3.210420841683367144e+01,4.000000000000000000e+01,3.210420841683367144e+01,9.784735812133078525e-01
3.228456913827655228e+01,4.000000000000000000e+01,3.228456913827655228e+01,9.784735812133079635e-01
3.246492985971944023e+01,4.000000000000000000e+01,3.246492985971944023e+01,9.784735812133078525e-01
3.264529058116232818e+01,4.000000000000000000e+01,3.264529058116232818e+01,9.784735812133079635e-01
3.282565130260521613e+01,4.000000000000000000e+01,3.282565130260521613e+01,9.784735812133078525e-01
3.300601202404809698e+01,4.000000000000000000e+01,3.300601202404809698e+01,9.784735812133078525e-01
3.318637274549098493e+01,4.000000000000000000e+01,3.318637274549098493e+01,9.784735812133078525e-01
3.336673346693387288e+01,4.000000000000000000e+01,3.336673346693387288e+01,9.784735812133078525e-01
3.354709418837675372e+01,4.000000000000000000e+01,3.354709418837675372e+01,9.784735812133077415e-01
3.372745490981964167e+01,4.000000000000000000e+01,3.372745490981964167e+01,9.784735812133078525e-01
3.390781563126252962e+01,4.000000000000000000e+01,3.390781563126252962e+01,9.784735812133078525e-01
3.408817635270541047e+01,4.000000000000000000e+01,3.408817635270541047e+01,9.784735812133078525e-01
3.426853707414829842e+01,4.000000000000000000e+01,3.426853707414829842e+01,9.784735812133078525e-01
3.444889779559118637e+01,4.000000000000000000e+01,3.444889779559118637e+01,9.784735812133078525e-01
3.462925851703407432e+01,4.000000000000000000e+01,3.462925851703407432e+01,9.784735812133078525e-01
3.480961923847695516e+01,4.000000000000000000e+01,3.480961923847695516e+01,9.784735812133078525e-01
3.498997995991984311e+01,4.000000000000000000e+01,3.498997995991984311e+01,9.784735812133078525e-01
